S_t,S_x
        0.7981408834,-2.567749
        2.0875560045,1.100098
        2.7980920076,-0.857300
        3.2512874603,2.418823
        4.0274679661,-0.680176
        4.4897840023,1.565186
        4.6680104733,-0.837158
        5.7530704737,2.023804
        6.4797209501,-0.962646
        6.9520829916,2.044678
        7.6524630785,-0.659790
        8.1654894352,1.977783
        8.9221565723,-0.803955
        9.3057140112,2.353149
        9.9858845472,-0.925903
       10.4779200554,2.939331
       11.1788309813,-0.798096
       11.6703540087,2.048218
       12.4478149414,-1.017822
       12.8304594755,3.148926
       13.5909794569,-1.031738
       14.0044710636,2.166748
       14.7335230112,-1.099609
       15.1171909571,3.245483
       15.8463474512,-1.170044
       16.2395479679,3.101685
       16.8796985149,-1.051514
       17.3435109854,2.880615
       18.0031204224,-1.195923
       18.4651739597,2.399658
       19.1456725597,-1.004883
       19.6072844267,2.419678
       20.3552805185,-0.889648
       20.7714689970,2.843506
       21.4390175343,-0.778687
       21.9332234859,2.727539
       22.5824680328,-0.803467
       23.0641731024,1.796265
       23.7536325455,-0.659180
       24.2473444939,2.048340
       24.9473299980,-0.805298
       25.4287914038,2.330811
       26.1375859976,-1.144897
       26.6312829256,1.682495
       27.9104919434,1.570801
       29.4074879885,-1.710571
