Stride_Max,Stride_Min,Period
2.542600,-0.134800,        1.0940788984
2.971100,-0.235100,        1.0431120396
2.759400,0.061700,        1.0568360090
2.720400,0.067700,        1.0219194889
2.906200,-0.302900,        1.0444575548
2.798800,0.127300,        1.0206604004
2.961200,-0.122700,        1.0409685373
2.852800,0.117000,        1.0402474403
2.964300,0.104600,        1.0526421070
2.756700,-0.184000,        1.2034504414
2.897500,0.025100,        0.8830840588
2.921400,-0.002900,        1.0216504335
2.882800,-0.171600,        1.0337179899
2.922700,-0.459800,        1.0440294743
2.800600,-0.266100,        1.0410865545
2.731400,-0.304900,        1.0435495377
2.896500,-0.188000,        1.0344550610
2.633800,0.008400,        1.0421524048
2.961200,-0.157500,        1.0412355661
2.840700,0.108200,        1.1017869711
2.953500,-0.197400,        0.6620274782
2.536700,0.237700,        0.3573790789
